full_name,rating,total_ratings,landmark_category,description,address,hours
Piazza Navona,4.7,"(110,654)",Plaza,"Elegant square dating from the 1st century A.D., with a classical fountain, street artists & bars.","Piazza Navona, 00186 Roma RM, Italy",[]
Roman Forum,4.7,"(102,401)",Historical place,"Vast excavated area of Roman temples, squares & government buildings, some dating back 2,000 years.","Via della Salara Vecchia, 5/6, 00186 Roma RM, Italy","['0% busy at 6 AM.', '0% busy at 7 AM.', '5% busy at 8 AM.', '21% busy at 9 AM.', '54% busy at 10 AM.', '88% busy at 11 AM.', '100% busy at 12 PM.', '92% busy at 1 PM.', '81% busy at 2 PM.', '69% busy at 3 PM.', '49% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '4% busy at 8 AM.', '13% busy at 9 AM.', '32% busy at 10 AM.', '53% busy at 11 AM.', '61% busy at 12 PM.', '57% busy at 1 PM.', '55% busy at 2 PM.', '51% busy at 3 PM.', '32% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '3% busy at 8 AM.', '13% busy at 9 AM.', '33% busy at 10 AM.', '52% busy at 11 AM.', '61% busy at 12 PM.', '61% busy at 1 PM.', '60% busy at 2 PM.', '51% busy at 3 PM.', '30% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '3% busy at 8 AM.', '11% busy at 9 AM.', '26% busy at 10 AM.', '43% busy at 11 AM.', '50% busy at 12 PM.', '49% busy at 1 PM.', '46% busy at 2 PM.', '40% busy at 3 PM.', '27% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '4% busy at 8 AM.', '14% busy at 9 AM.', '32% busy at 10 AM.', '52% busy at 11 AM.', '62% busy at 12 PM.', '59% busy at 1 PM.', '57% busy at 2 PM.', '54% busy at 3 PM.', '35% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '4% busy at 8 AM.', '14% busy at 9 AM.', '32% busy at 10 AM.', '54% busy at 11 AM.', '66% busy at 12 PM.', '63% busy at 1 PM.', '59% busy at 2 PM.', '54% busy at 3 PM.', '35% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '4% busy at 8 AM.', '15% busy at 9 AM.', '39% busy at 10 AM.', '68% busy at 11 AM.', '81% busy at 12 PM.', '76% busy at 1 PM.', '70% busy at 2 PM.', '64% busy at 3 PM.', '44% busy at 4 PM.', '0% busy at 5 PM.', '0% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.']"
Fontana del Pantheon,4.6,(496),Fountain,"16th-century fountain commissioned by Pope Gregory XIII, with ornate marble dolphins & an obelisk.","Piazza della Rotonda, 00186 Roma RM, Italy",[]
Spanish Steps,4.5,"(43,257)",Monument,"Steps with irregular butterfly-shaped design, built in 18th century at French diplomat's bequest.","Piazza di Spagna, 00187 Roma RM, Italy",[]
Trevi Fountain,4.7,"(253,195)",Fountain,"Aqueduct-fed rococo fountain, designed by Nicola Salvi & completed in 1762, with sculpted figures.","Piazza di Trevi, 00187 Roma RM, Italy",[]
Basilica di San Giovanni in Laterano,4.8,"(16,415)",Basilica,"Landmark cathedral, the Pope's official seat, with ornate 1700s facade & statues of the Apostles.","Piazza di S. Giovanni in Laterano, 4, 00184 Roma RM, Italy",[]
Borghese Gallery and Museum,4.6,"(12,424)",Art museum,Villa housing 15th- to 18th-century artworks with pieces by Bernini & Caravaggio. Booking essential.,"Piazzale Scipione Borghese, 5, 00197 Roma RM, Italy
Located in: Villa Borghese","['0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '48% busy at 9 AM.', '76% busy at 10 AM.', '92% busy at 11 AM.', '89% busy at 12 PM.', '83% busy at 1 PM.', '89% busy at 2 PM.', '100% busy at 3 PM.', '94% busy at 4 PM.', '67% busy at 5 PM.', '35% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '% busy at .', '0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '30% busy at 9 AM.', '49% busy at 10 AM.', '59% busy at 11 AM.', '57% busy at 12 PM.', '50% busy at 1 PM.', '46% busy at 2 PM.', '45% busy at 3 PM.', '41% busy at 4 PM.', '31% busy at 5 PM.', '18% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '30% busy at 9 AM.', '48% busy at 10 AM.', '57% busy at 11 AM.', '52% busy at 12 PM.', '43% busy at 1 PM.', '41% busy at 2 PM.', '46% busy at 3 PM.', '47% busy at 4 PM.', '38% busy at 5 PM.', '23% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '38% busy at 9 AM.', '57% busy at 10 AM.', '66% busy at 11 AM.', '62% busy at 12 PM.', '52% busy at 1 PM.', '46% busy at 2 PM.', '48% busy at 3 PM.', '50% busy at 4 PM.', '47% busy at 5 PM.', '37% busy at 6 PM.', '14% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '28% busy at 9 AM.', '52% busy at 10 AM.', '68% busy at 11 AM.', '67% busy at 12 PM.', '57% busy at 1 PM.', '51% busy at 2 PM.', '52% busy at 3 PM.', '50% busy at 4 PM.', '42% busy at 5 PM.', '28% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '0% busy at 8 AM.', '35% busy at 9 AM.', '60% busy at 10 AM.', '76% busy at 11 AM.', '75% busy at 12 PM.', '69% busy at 1 PM.', '73% busy at 2 PM.', '81% busy at 3 PM.', '77% busy at 4 PM.', '57% busy at 5 PM.', '34% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.']"
Basilica Papale di Santa Maria Maggiore,4.7,"(19,735)",Basilica,Landmark papal basilica founded in the 5th century & known for its Roman mosaics & gilded ceiling.,"Piazza di S. Maria Maggiore, 00100 Roma RM, Italy",[]
Baths of Caracalla,4.6,"(13,879)",Ruin,Ruins of a vast rectangular-shaped Roman thermal bath complex used from around 216 A.D. to 537 A.D.,"Viale delle Terme di Caracalla, 00153 Roma RM, Italy",[]
Colosseum,4.7,"(241,400)",Historical landmark,"Monumental 3-tiered Roman amphitheater once used for gladiatorial games, with guided tour option.","Piazza del Colosseo, 1, 00184 Roma RM, Italy","['0% busy at 6 AM.', '0% busy at 7 AM.', '19% busy at 8 AM.', '48% busy at 9 AM.', '81% busy at 10 AM.', '100% busy at 11 AM.', '95% busy at 12 PM.', '82% busy at 1 PM.', '70% busy at 2 PM.', '59% busy at 3 PM.', '43% busy at 4 PM.', '27% busy at 5 PM.', '16% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '13% busy at 8 AM.', '32% busy at 9 AM.', '54% busy at 10 AM.', '68% busy at 11 AM.', '67% busy at 12 PM.', '60% busy at 1 PM.', '53% busy at 2 PM.', '43% busy at 3 PM.', '30% busy at 4 PM.', '18% busy at 5 PM.', '10% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '14% busy at 8 AM.', '33% busy at 9 AM.', '54% busy at 10 AM.', '67% busy at 11 AM.', '68% busy at 12 PM.', '61% busy at 1 PM.', '52% busy at 2 PM.', '42% busy at 3 PM.', '30% busy at 4 PM.', '18% busy at 5 PM.', '10% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '12% busy at 8 AM.', '26% busy at 9 AM.', '42% busy at 10 AM.', '53% busy at 11 AM.', '55% busy at 12 PM.', '48% busy at 1 PM.', '41% busy at 2 PM.', '34% busy at 3 PM.', '28% busy at 4 PM.', '22% busy at 5 PM.', '15% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '12% busy at 8 AM.', '31% busy at 9 AM.', '53% busy at 10 AM.', '67% busy at 11 AM.', '68% busy at 12 PM.', '61% busy at 1 PM.', '54% busy at 2 PM.', '44% busy at 3 PM.', '33% busy at 4 PM.', '21% busy at 5 PM.', '13% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '13% busy at 8 AM.', '33% busy at 9 AM.', '58% busy at 10 AM.', '72% busy at 11 AM.', '73% busy at 12 PM.', '67% busy at 1 PM.', '60% busy at 2 PM.', '49% busy at 3 PM.', '35% busy at 4 PM.', '22% busy at 5 PM.', '13% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.', '0% busy at 6 AM.', '0% busy at 7 AM.', '18% busy at 8 AM.', '43% busy at 9 AM.', '73% busy at 10 AM.', '94% busy at 11 AM.', '94% busy at 12 PM.', '81% busy at 1 PM.', '68% busy at 2 PM.', '57% busy at 3 PM.', '44% busy at 4 PM.', '30% busy at 5 PM.', '18% busy at 6 PM.', '0% busy at 7 PM.', '0% busy at 8 PM.', '0% busy at 9 PM.', '0% busy at 10 PM.', '0% busy at 11 PM.']"
