full_name,rating,total_ratings,business_category,address,phone,website,latitude,longitude
Kwik Kopy Brisbane,4.3,(20),Print shop,"Emirates House, Level 19/167 Eagle St, Brisbane City QLD 4000, Australia",+61 7 3229 9988,kwikkopy.com.au,-27.4660628,153.0305382
Worldwide Edward Street BRISBANE CBD,5.0,(42),Print shop,"Level 4 Rowes Building, 235, Edward St, Brisbane City QLD 4000, Australia",+61 7 3229 8522,worldwide.com.au,-27.467671,153.026695
Copy Cat Printing and Signage,4.4,(36),Print shop,"109/101 Wickham Terrace, Spring Hill QLD 4000, Australia
Located in: Siller Medical PTY Ltd.",+61 7 3831 4766,copycatprint.com.au,-27.464356,153.0262079
PostNet Brisbane CBD,4.9,(46),Print shop,"Anzac Square Arcade, PostNet Brisbane CBD Shop 12B, 198 Adelaide St, Brisbane City QLD 4000, Australia
Located in: Anzac Square Arcade Building",+61 7 3157 2776,,-27.4670389,153.0264034
Worldwide Charlotte Street,4.7,(25),Print shop,"Ground Floor, Shop 2/119 Charlotte St, Brisbane City QLD 4000, Australia",+61 7 3210 1110,worldwide.com.au,-27.470865,153.027357
Direct Copy Centre,5.0,(1),Print shop,"457 Upper Edward St, Spring Hill QLD 4000, Australia",+61 7 3236 1988,directcopycentre.com,-27.4631825,153.0247038
Quick Colour,4.3,(20),Print shop,"48 Warren St, Fortitude Valley QLD 4006, Australia",+61 7 3832 1411,quickcolour.com.au,-27.4605329,153.03116
Worldwide Market Street,4.9,(69),Print shop,"10 Market St, Brisbane City QLD 4000, Australia",+61 7 3211 9550,worldwide.com.au,-27.4697045,153.029705
Bilby 3D - Brisbane,3.6,(15),Print shop,"2/474 Upper Edward St, Brisbane City QLD 4000, Australia",+61 7 3135 9810,bilby3d.com.au,-27.463394,153.024346
Professional Print Services P/L,,,Print shop,"26 Jeays St, Bowen Hills QLD 4006, Australia",+61 7 3180 4455,professionalprintservices.com.au,-27.4496179,153.036326
Click to Print,,,Print shop,"269 Wickham St, Fortitude Valley QLD 4006, Australia",,,-27.456574,153.0350403
Kimset Printing,,,Print shop,"354 Brunswick St, Fortitude Valley QLD 4006, Australia",+61 7 3257 1930,,-27.458583,153.035493
Printing & More Brisbane CBD,5.0,(22),Commercial printer,"309/241 Adelaide St, Brisbane City QLD 4000, Australia",+61 7 3088 3210,brisbanecbdprinting.com.au,-27.467503,153.0270052
Kwik Kopy Fortitude Valley,3.3,(4),Print shop,"52 Baxter St, Fortitude Valley QLD 4006, Australia",+61 7 3854 1411,kwikkopy.com.au,-27.4542449,153.0316045
Worldwide Fortitude Valley,4.4,(26),Print shop,"1/85 Commercial Rd, Fortitude Valley QLD 4005, Australia",+61 7 3852 2440,worldwide.com.au,-27.4541455,153.0448926
Southbank Green Print Centre,4.0,(4),Print shop,"F Block, Ground Floor/66 Ernest St, South Brisbane QLD 4101, Australia",+61 7 3244 6477,southbankgreenprint.com.au,-27.4805462,153.0209205
Cheap Brochure Printing Brisbane,,,Print shop,,+61 7 3123 6662,cheapbrochureprintingbrisbane.com.au,-27.37379055,152.9686767
MBE Brisbane CBD,4.7,(29),Commercial printer,"Brisbane Club Tower, Lvl 1/241 Adelaide St, Brisbane City QLD 4000, Australia",+61 7 3067 9800,mbe.com.au,-27.466956,153.027497
The Print Shop,,,Print shop,"49 Butterfield St, Herston QLD 4006, Australia",+61 7 3257 3416,,-27.444713,153.026493
MBE Ann Street Brisbane City,4.9,(27),Print shop,"Northbank Plaza, 69 Ann St, Brisbane City QLD 4000, Australia",+61 7 3211 2647,mbe.com.au,-27.469186,153.022744
Worldwide South Brisbane,4.8,(28),Print shop,"1 Gladstone Rd, Highgate Hill QLD 4101, Australia",+61 7 3004 7600,worldwide.com.au,-27.4840048,153.0207451
Signage Guys,5.0,(1),Print shop,"285 Shafston Ave, Kangaroo Point QLD 4169, Australia",+61 450 409 056,signageguys.com.au,-27.4789118,153.0408315
Swift Graphics,,,Print shop,"90 James St, New Farm QLD 4005, Australia",+61 7 3358 4108,,-27.4587886,153.042779
Valley Edge Design Centre,5.0,(10),Print shop,"75 Doggett St, Fortitude Valley QLD 4006, Australia",+61 7 3257 2000,valleyedge.com.au,-27.4521965,153.043842
Kwik Kopy West End,5.0,(13),Commercial printer,"6 Greet St, West End QLD 4101, Australia",+61 7 3844 3377,kwikkopy.com.au,-27.4815143,153.0031908
Metro Printing,,,Print shop,"9 Barramul St, Bulimba QLD 4171, Australia",,,-27.453422,153.057294
"Officeworks Adelaide St, Brisbane",3.3,(251),Office supply store,"102 Adelaide St, Brisbane City QLD 4000, Australia",+61 7 3020 2500,officeworks.com.au,-27.4683643,153.0247131
Worldwide Spring Hill - Mobile Serviced Centre,5.0,(9),Print shop,,+61 7 3832 7650,worldwide.com.au,-27.4600494,153.0237802
Panther Print PTY Ltd.,5.0,(1),Print shop,"26 Jeays St, Bowen Hills QLD 4006, Australia",+61 7 3252 2466,,-27.4496278,153.0362809
Printing Solutions Brisbane CBD,,,Commercial printer,"69 Ann St, Brisbane City QLD 4000, Australia",,,-27.469186,153.022744
Worldwide Milton,5.0,(16),Print shop,"1/12 Cribb St, Milton QLD 4064, Australia",+61 7 3511 6111,worldwide.com.au,-27.470115,153.0080957
Kwik Kopy Toowong,4.3,(11),Print shop,"4/31 Sherwood Rd, Toowong QLD 4066, Australia",+61 7 3870 3411,kwikkopy.com.au,-27.4851721,152.9917902
MBE Milton,4.6,(35),Commercial printer,"1b/47 Park Rd, Milton QLD 4064, Australia",+61 7 3369 1333,mbe.com.au,-27.4717215,153.0047588
ACE Colour & Design,4.0,(1),Print shop,"26 Jeays St, Bowen Hills QLD 4006, Australia",+61 7 3252 2259,aceprint.com.au,-27.4496278,153.036281
Labels Direct,,,Print shop,"23 Jeays St, Bowen Hills QLD 4006, Australia",+61 7 3252 0044,frematleprinting.com.au,-27.449529,153.0358794
Minuteman Press Fortitude Valley,5.0,(37),Print shop,"2/47 Brookes St, Fortitude Valley QLD 4006, Australia",+61 7 3191 9762,minutemanpress.com.au,-27.4507138,153.035216
Cost Less Copies,4.0,(19),Print shop,"654 Ipswich Rd, Annerley QLD 4103, Australia",+61 7 3255 9233,costlesscopies.com.au,-27.517686,153.0298143
Minuteman Press Milton,4.7,(15),Print shop,"1/10 Dorsey St, Milton QLD 4064, Australia",+61 7 3367 1435,milton.minutemanpress.com.au,-27.4721693,153.0015729
Al's Art FX,,,Print shop,"1 Latrobe Terrace, Paddington QLD 4064, Australia",+61 7 3217 5111,aafx.com.au,-27.4602993,153.0025606
