full_name,rating,total_ratings,business_category,price_range,address,phone,website,review_topics,latitude,longitude
Mini Grill Steakhouse - Glasgow,4.7,(567),Steak house,$$,"244A Bath St, Glasgow G2 4JW, United Kingdom",+44 141 332 2732,minigrillglasgow.co.uk,"['haggis\n23', 'burger\n22', 'scallops\n7', 'risotto\n6', 'bone\n6', 'food and service\n6', 'celebration\n6', 'medium rare\n6', 'duck\n5', 'swine\n5']",55.865028,-4.265692
Meat Bar,4.6,(501),Steak house,$$,"142 W Regent St, Glasgow G2 2RQ, United Kingdom",+44 141 204 3605,themeatbar.co.uk,"['burgers\n41', 'cocktails\n25', 'fries\n17', 'craft beer\n9', 'sirloin\n9', 'music\n8', 'haggis\n6', 'bacon\n6', 'sides\n6', 'ribs\n5']",55.863674,-4.2600429
"Marco Pierre White Steakhouse, Bar & Grill Glasgow",3.6,(309),Steak house,$$$,"75 Waterloo St, Glasgow G2 7DA, United Kingdom",+44 141 226 7726,mpwrestaurants.co.uk,"['afternoon tea\n18', 'hotel\n13', 'chateaubriand\n9', 'christmas\n8', 'voucher\n7', 'bottle\n6', 'groupon\n5', 'service charge\n5', 'onion rings\n5', 'picture\n5']",55.8603612,-4.2631378
Miller & Carter Glasgow,4.6,"(2,679)",Steak house,$$,"47 St Vincent St, Glasgow G2 5QX, United Kingdom",+44 141 404 2914,millerandcarter.co.uk,"['toilets\n30', 'beef dripping\n20', 'chateaubriand\n13', 'prosecco\n11', 'bank vault\n7', 'butcher block\n7', 'food and wine\n7', 'christmas menu\n6', 'loaf\n6', 'architecture\n5']",55.8611134,-4.2543842
Blackhouse Steakhouse Glasgow,4.1,(13),Steak house,,"21 Bothwell St, Glasgow G2 6NL, United Kingdom",+44 141 248 6262,blackhouse.uk.com,[],55.8609172,-4.25983925
"Tiffney's Steakhouse ""The Home Of Dry Aged Beef""",4.7,(172),Restaurant,$$$,"61 Otago St, Glasgow G12 8PQ, United Kingdom",+44 141 328 9557,tiffneys.com,"['chef\n11', 'wine\n7', 'experience\n7', 'children\n4', 'sides\n3', 'cost\n3']",55.87358,-4.282103
Steak and Cherry,4.3,(468),Restaurant,$$,"516 Sauchiehall St, Glasgow G2 3LW, United Kingdom",+44 141 352 9893,steakandcherry.com,"['cocktails\n23', 'burger\n16', 'night\n15', 'chicken\n15', 'chips\n10', 'deal\n8', 'pizza\n8', 'theatre\n7', 'the atmosphere\n6', 'halal\n5']",55.866271,-4.269492
Alston Bar & Beef,4.5,(634),Steak house,$$,"Unit 19, Central Station, 79 Gordon St, Glasgow G1 3SQ, United Kingdom
Located in: Glasgow Central Station",+44 141 221 7627,alstonglasgow.co.uk,"['gin\n62', 'cocktails\n27', 'station\n17', 'sunday roast\n13', 'night\n8', 'chips\n8', 'stairs\n6', 'medium rare\n6', 'chocolate brownie\n5', 'choice\n5']",55.8604407,-4.2575836
Porter & Rye,4.6,(414),Steak house,$$$,"1131 Argyle St, Finnieston, Glasgow G3 8ND, United Kingdom",+44 141 572 1212,porterandrye.com,"['cocktails\n18', 'chips\n11', 'sunday roast\n10', 'mac and cheese\n10', 'sides\n8', 'bone marrow\n5', 'chateaubriand\n5', 'beef dripping\n5', 'dry aged\n5', 'knife\n5']",55.864674,-4.284431
The Grill on the Square,4.3,(309),Steak house,,"29 Royal Exchange Square, Glasgow G1 3AJ, United Kingdom",+44 141 225 5615,grillroomglasgow.com,"['night\n9', 'course\n8', 'voucher\n6', 'food and service\n6', 'dining\n6', 'cocktails\n5', 'book\n4', 'afternoon tea\n3', 'groupon\n3', 'window\n3']",55.8600214,-4.2534637
Bo'Vine Meats & Wines,4.4,(367),Steak house,$$,"385 Byres Rd, Glasgow G12 8AU, United Kingdom",+44 141 341 6540,bovinerestaurant.com,"['chateaubriand\n13', 'chips\n11', 'courses\n7', 'sides\n7', 'prawns\n6', 'value\n6', 'night\n6', 'groupon\n5', 'deal\n5', 'haggis\n3']",55.877761,-4.290689
The Grill on the Corner,4.1,"(1,160)",British restaurant,$$$,"21-25 Bothwell St, Glasgow G2 6NL, United Kingdom",+44 141 248 6262,blackhouse.uk.com,"['medium rare\n19', 'steakhouse\n14', 'discount\n14', 'fajitas\n13', 'ribeye\n12', 'sirloin\n8', 't-bone\n6', 'peppercorn sauce\n6', 'bill\n6', 'card\n6']",55.860917,-4.259839
Mahony's Steakhouse,4.4,(318),Steak house,$$,"181-183 Kirkintilloch Rd, Bishopbriggs, Glasgow G64 2LS, United Kingdom",+44 141 772 4455,mahonyssteakhouse.co.uk,"['night\n10', 'value\n9', 'choice\n6', 'music\n6', 'chips\n6', 'skewers\n5', 'cheesecake\n4', 'tomato\n4', 'mussels\n3', 'presentation\n3']",55.905412,-4.224728
The Butchershop Bar & Grill,4.6,"(1,092)",Restaurant,$$$,"1055 Sauchiehall St, Glasgow G3 7UD, United Kingdom",+44 141 339 2999,butchershopglasgow.com,"['t-bone\n17', 'sunday roast\n16', 'cocktails\n15', 'well done\n14', 'onion rings\n8', 'cuts of meat\n7', 'sirloin\n6', 'kelvingrove park\n5', 'chateaubriand\n5', 'scotch egg\n5']",55.8669317,-4.2892501
The Spanish Butcher,4.6,(619),Spanish restaurant,$$$,"80 Miller St, Glasgow G1 1DT, United Kingdom",+44 141 406 9880,spanishbutcher.com,"['fries\n12', 'birthday\n9', 'truffle\n8', 'olives\n8', 'cocktails\n8', 'beef\n7', 'steakhouse\n6', 'chateaubriand\n5', 'sides\n5', 'iberico\n5']",55.859356,-4.2505871
Hutchesons City Grill,4.3,(540),Restaurant,$$$,"158 Ingram St, Glasgow G1 1EJ, United Kingdom",+44 141 552 4050,hutchesonsglasgow.com,"['steak\n30', 'building\n20', 'cocktails\n18', 'bar\n18', 'brunch\n15', 'night\n14', 'dining\n11', 'courses\n9', 'birthday\n7', 'oysters\n6']",55.8598601,-4.2475458
Viva Brazil,4.4,"(1,765)",Brazilian restaurant,$$,"87-91 Bothwell St, Glasgow G2 7AA, United Kingdom",+44 141 204 0240,vivabrazilrestaurants.com,"['salad bar\n74', 'buffet\n72', 'cocktails\n27', 'pineapple\n26', 'birthday\n18', 'cinnamon\n16', 'cuts of meat\n15', 'dining\n14', 'lamb\n11', 'gammon\n8']",55.8612376,-4.262096
Little Steak House,4.6,(460),Steak house,$$,"4 Sma Shots Lane, Paisley PA1 2HG, United Kingdom",+44 141 848 0351,littlesteakhouse.co.uk,"['birthday\n12', 'value\n9', 'night\n9', 'room\n8', 'steak pie\n7', 'party\n5', 'wine\n5', 'goats cheese\n3', 'braised\n3', 'prawns\n3']",55.843233,-4.4258657
Miller & Carter Newton Mearns,4.5,"(1,026)",Steak house,$$,"Stewarton Rd, Newton Mearns, Glasgow G77 6NP, United Kingdom",+44 141 639 7453,millerandcarter.co.uk,"['ribeye\n12', 'lettuce\n9', 'chips\n8', 'cocktails\n8', 'value\n8', 'food and service\n8', 'choices\n7', 'christmas\n5', 'course\n5', 't bone steak\n5']",55.785155,-4.343923
FF West End,4.6,(257),Restaurant,$$,"160 Woodlands Rd, Glasgow G3 6LF, United Kingdom",+44 141 332 3399,facebook.com,"['cooked\n16', 'sides\n10', 'bar\n9', 'value\n7', 'drinks\n7', 'flat iron steak\n6', 'cocktails\n5', 'money\n5', 'sunday roast\n4', 'chips\n4']",55.869842,-4.275047
Wagah Grill House,4.5,(171),Fast food restaurant,,"58 Howard St, Glasgow G1 4EE, United Kingdom",+44 141 328 0805,,"['halal\n6', 'to go\n4', 'plate\n3', 'student\n3']",55.856536,-4.25465
Barolo Grill,4.4,(470),Italian restaurant,$$,"92-94 Mitchell St, Glasgow G1 3NQ, United Kingdom
Located in: Gordon Chambers",+44 141 221 0971,barologrill.co.uk,"['breakfast\n13', 'steak\n10', 'wine\n8', 'food, service\n5', 'dining\n4', 'girlfriend\n3', 'roast\n3', 'calamari\n3', 'choice\n3', 'value\n3']",55.860152,-4.255493
The McMillan Bar + Chop House,4.4,(290),Chophouse restaurant,$$,"862 Pollokshaws Rd, Glasgow G41 2ET, United Kingdom",+44 141 649 9055,themcmillan.co.uk,"['cocktails\n10', 'evening\n7', 'food and service\n6', 'fries\n6', 'dining\n5', 'courses\n5', 'music\n4', 'pudding\n3', 'sunday roast\n3', 'toilets\n3']",55.8338614,-4.2751002
